iter	Logloss
0	0.6101435837
1	0.550982298
2	0.5119572584
3	0.4847823434
4	0.4646629098
5	0.452614851
6	0.4399052451
7	0.4312996199
8	0.4240846407
9	0.4185345272
10	0.4126677742
11	0.4086955987
12	0.4049039614
13	0.4021854715
14	0.4001638378
15	0.3982543238
16	0.3959370406
17	0.3938299619
18	0.3913015019
19	0.3897261882
20	0.3879869653
21	0.386610978
22	0.3854224959
23	0.3841305368
24	0.3830094552
25	0.3816058819
26	0.3801877868
27	0.3790563917
28	0.3781517787
29	0.3771423846
30	0.3760100259
31	0.3746536809
32	0.3739950433
33	0.3728578428
34	0.371150242
35	0.3703021809
36	0.3690455581
37	0.3676267954
38	0.3663801302
39	0.3649806855
40	0.3637666845
41	0.3629701118
42	0.3623645566
43	0.3617899726
44	0.3609945917
45	0.3599769688
46	0.3592231333
47	0.3582961881
48	0.3572082188
49	0.3566900484
50	0.3566884479
51	0.3559143342
52	0.3554592449
53	0.3539462697
54	0.3530849393
55	0.3521443891
56	0.3510283822
57	0.3500665524
58	0.3490078986
59	0.347768152
60	0.3474748535
61	0.3469350889
62	0.3457744057
63	0.3457415278
64	0.344851036
65	0.3441903338
66	0.3432363857
67	0.3423494833
68	0.3415640034
69	0.3407318643
70	0.3397629397
71	0.3390140584
72	0.3382612615
73	0.3369225621
74	0.3364370725
75	0.3354693246
76	0.3347856297
77	0.3338639602
78	0.3328901066
79	0.3324051458
80	0.3318031197
81	0.331352495
82	0.3309275039
83	0.3301661284
84	0.3293958656
85	0.3288733574
86	0.328081121
87	0.327073869
88	0.326763173
89	0.3258844411
90	0.3253888291
91	0.3246809796
92	0.3241212352
93	0.3233589865
94	0.3227180193
95	0.3221298798
96	0.3218366147
97	0.321506389
98	0.3207253024
99	0.3199149494
