iter	Passed	Remaining
0	180	17875
1	193	9498
2	203	6572
3	215	5164
4	224	4268
5	232	3636
6	238	3175
7	243	2801
8	249	2522
9	286	2582
10	294	2382
11	299	2195
12	313	2095
13	323	1984
14	328	1862
15	334	1756
16	342	1674
17	347	1584
18	356	1519
19	361	1446
20	367	1383
21	373	1323
22	378	1267
23	385	1221
24	390	1170
25	394	1123
26	401	1084
27	409	1053
28	416	1019
29	421	983
30	427	950
31	432	918
32	437	887
33	445	864
34	455	845
35	461	820
36	469	800
37	477	779
38	487	762
39	495	743
40	504	725
41	510	704
42	520	689
43	526	669
44	535	654
45	543	638
46	619	699
47	673	729
48	714	743
49	736	736
50	740	711
51	747	690
52	754	668
53	759	646
54	767	627
55	772	607
56	779	587
57	784	568
58	790	549
59	801	534
60	809	517
61	814	499
62	825	484
63	831	467
64	839	452
65	853	439
66	863	425
67	869	409
68	884	397
69	918	393
70	930	380
71	938	365
72	951	351
73	967	339
74	979	326
75	1017	321
76	1032	308
77	1046	295
78	1161	308
79	1184	296
80	1201	281
81	1214	266
82	1226	251
83	1233	235
84	1243	219
85	1285	209
86	1293	193
87	1300	177
88	1309	161
89	1335	148
90	1345	133
91	1354	117
92	1364	102
93	1375	87
94	1383	72
95	1396	58
96	1405	43
97	1415	28
98	1423	14
99	1430	0
